cmtuqgwb500br4gyx0ow4o6g4	nameRu	市场营销
cmtuqgwb900bs4gyxep9h3z13	nameRu	物流管理
cmtuqgwbd00bt4gyx14kjlwlb	nameRu	经济学
cmtuqgwbg00bu4gyxm7bpar8p	nameRu	财政学
cmtuqgwbj00bv4gyx5611urcw	nameRu	保险学
cmtuqgwbn00bw4gyx5za72h2t	nameRu	会计学
cmtuqgwbr00bx4gyxh1vysigq	nameRu	财务管理
cmtuqgwbv00by4gyxe95wz2r8	nameRu	管理科学
cmtuqgwbz00bz4gyxkgoefqd4	nameRu	法学
cmtuqgwc300c04gyx4kwn1p0t	nameRu	国际法
cmtuqgwc700c14gyxv724qd9m	nameRu	政治学与行政学
cmtuqgwcb00c24gyxbvu86btl	nameRu	外交学
cmtuqgwcf00c34gyxyo0ogajj	nameRu	行政管理
cmtuqgwcj00c44gyxqbrou29s	nameRu	公共事业管理
cmtuqgwcn00c54gyx3ogy4ur4	nameRu	劳动与社会保障
cmtuqgwcq00c64gyxrpe2adb8	nameRu	图书馆学
cmtuqgwcu00c74gyxai6w5usp	nameRu	信息管理与信息系统
cmtuqgwcx00c84gyx5xzs8xpn	nameRu	档案学
cmtuqgwd100c94gyxtds5i6in	nameRu	编辑出版学
cmtuqgwd400ca4gyxp056y4tv	nameRu	大数据管理与应用
cmtuqgwd800cb4gyx0b6eata6	nameRu	电子商务
cmtuqgwdc00cc4gyxnyt2h40n	nameRu	汉语言
cmtuqgwdg00cd4gyxb9o647zm	nameRu	戏剧影视文学（门类：文字）
cmtuqgwdj00ce4gyxywo4rxz4	nameRu	数据科学与大数据技术
cmtuqgwdn00cf4gyxoakr96ps	nameRu	数学与应用数学
cmtuqgwdq00cg4gyxiwtpv6at	nameRu	信息与计算科学
cmtuqgwdu00ch4gyxu1wot5zk	nameRu	统计学
cmtuqgwdz00ci4gyxict74m0y	nameRu	物理学
cmtuqgwe300cj4gyxkq5d6fhz	nameRu	材料物理
cmtuqgwe700ck4gyxjnkm232v	nameRu	化学
cmtuqgweb00cl4gyxzrdy49s1	nameRu	应用化学
cmtuqgwef00cm4gyxul3ksl8j	nameRu	生物科学
cmtuqgwei00cn4gyx64t0neol	nameRu	地理科学
cmtuqgwem00co4gyxf2yvuzmb	nameRu	地理信息科学
cmtuqgwep00cp4gyxf14564lz	nameRu	环境科学
cmtuqgwet00cq4gyxa7dswvnv	nameRu	环境工程
cmtuqgwex00cr4gyxgva9c8bf	nameRu	土地资源管理
cmtuqgwf100cs4gyxekr0jaip	nameRu	智慧城市与空间规划
cmtuqgwf500ct4gyxt2oqsc0t	nameRu	核工程与核技术
cmtuqgwf900cu4gyx4lyjcuba	nameRu	机械设计制造及其自动化
cmtuqgwfc00cv4gyxe8qiu6oh	nameRu	能源与动力工程
cmtuqgwfg00cw4gyxo3o08sne	nameRu	能源化学工程
cmtuqgwfk00cx4gyxu5bmuv99	nameRu	智能制造工程
cmtuqgwfn00cy4gyxsr2qvtvm	nameRu	智慧能源工程
cmtuqgwfr00cz4gyx1q4ozdd5	nameRu	电气工程及其自动化
cmtuqgwfv00d04gyx0pzn0f0x	nameRu	土木工程
cmtuqgwfy00d14gyxunk6ahti	nameRu	工程力学
cmtuqgwg200d24gyxusjn8dik	nameRu	智能建造
cmtuqgwg600d34gyxot2312s1	nameRu	给排水科学与工程
cmtuqgwg900d44gyxciuiha1p	nameRu	水利水电工程
cmtuqgwgd00d54gyx7rpa8c4s	nameRu	水文与水资源工程
cmtuqgwgg00d64gyxvvm46lla	nameRu	港口航道与海岸工程
cmtuqgwgk00d74gyxj6xgw31j	nameRu	农业水利工程
cmtuqgwgo00d84gyxa8v3khz3	nameRu	智慧水利
cmtuqgwgr00d94gyxwf7et96t	nameRu	智慧建筑与建造
cmtuqgwgu00da4gyx5ghos1qv	nameRu	城乡规划
cmtuqgwgy00db4gyxv1b85ele	nameRu	环境设计
cmtuqgwh200dc4gyx4sbv8q2r	nameRu	产品设计
cmtuqgwh600dd4gyxk65nwq0m	nameRu	通信工程
cmtuqgwha00de4gyxgs6vgpke	nameRu	电子信息工程
cmtuqgwhd00df4gyxvnzy90hn	nameRu	软件工程
cmtuqgwhh00dg4gyxxff7qyzd	nameRu	计算机科学与技术
cmtuqgwhl00dh4gyxmxesv0a8	nameRu	网络空间安全
cmtuqgwhp00di4gyxy8yxws3v	nameRu	信息安全
cmtuqgwhu00dj4gyxqh16wfm4	nameRu	密码科学与技术
cmtuqgwhy00dk4gyxc9egetwx	nameRu	遥感科学与技术
cmtuqgwi300dl4gyxlyafdwx3	nameRu	空间信息与数字技术
cmtuqgwi600dm4gyx2oq1p3rq	nameRu	测绘工程
cmtuqgwia00dn4gyxklnuyywr	nameRu	导航工程
cmtuqgwid00do4gyxbfcqb4o9	nameRu	地球物理学
cmtuqgwig00dp4gyxs7foxfin	nameRu	电波传播与天线
cmtuqgwik00dq4gyx2yn5ng44	nameRu	临床医学
cmtuqgwin00dr4gyx8whufxlr	nameRu	口腔医学
cmtuqgwir00ds4gyx97ttn63w	nameRu	药学
cmtuqgwiv00dt4gyxjej434dq	nameRu	生物制药
cmtuqgwiy00du4gyx8rt9ilnq	nameRu	护理学
cmtuqgwj200dv4gyxcun56865	nameRu	预防医学
cmtuqgwj500dw4gyx9yuxpr83	nameRu	全球健康学
cmtuqgwj900dx4gyxjbaht96v	nameRu	工商管理(英文授课)
cmtuqgwjc00dy4gyxvbh2g3b3	nameRu	人力资源管理(英文授课)
cmtuqgwjf00dz4gyx0iwx40cy	nameRu	市场营销(英文授课)
cmtuqgwjj00e04gyxjkm41g2g	nameRu	会计学(英文授课)
cmtuqgwjm00e14gyxff9mhgac	nameRu	财务管理(英文授课)
cmtuqgwjq00e24gyxfy2rb4t3	nameRu	金融学(英文授课)
cmtuqgwju00e34gyx7qgzr8dx	nameRu	保险学(英文授课)
cmtuqgwjx00e44gyxt6s2g9n9	nameRu	国际经济与贸易(英文授课)
cmtuqgwk000e54gyx957ujser	nameRu	电子商务(英文授课)
cmtuqgwk400e64gyxngcee484	nameRu	软件工程(英文授课)
cmtuqgwk700e74gyxiki3ec77	nameRu	地理科学(英文授课)
cmtuqgwkb00e84gyxz8njn5u8	nameRu	地理信息科学(英文授课)
cmtuqgwkf00e94gyxflt69myf	nameRu	环境科学(英文授课)
cmtuqgwki00ea4gyxtc60fmqu	nameRu	临床医学(英文授课)
cmtuqgwmk00eb4gyx5g68io64	nameRu	哲学
cmtuqgwmp00ec4gyx00oqdgun	nameRu	汉语言文学
cmtuqgwms00ed4gyxfebm4bad	nameRu	古典文献学
cmtuqgwmw00ee4gyxy4s01mgq	nameRu	历史学
cmtuqgwmz00ef4gyxqhml73fc	nameRu	文物与博物馆学
cmtuqgwn300eg4gyxptxll8wq	nameRu	考古学
cmtuqgwn600eh4gyx2xzkbopa	nameRu	艺术与科技
cmtuqgwn900ei4gyx1asbxgke	nameRu	新闻学
cmtuqgwnc00ej4gyxoho3brhp	nameRu	传播学
cmtuqgwnf00ek4gyxtc8gavn0	nameRu	英语
cmtuqgwnj00el4gyxan99akxf	nameRu	翻译
cmtuqgwnn00em4gyxvqi7x26j	nameRu	俄语
cmtuqgwnq00en4gyx7esp4b4g	nameRu	日语
cmtuqgwnt00eo4gyx1dkqvz38	nameRu	德语
cmtuqgwnx00ep4gyxn1ae1fdk	nameRu	法语
cmtuqgwo100eq4gyxadmn1kzw	nameRu	西班牙语
cmtuqgwo400er4gyxsgbs32f7	nameRu	经济学
cmtuqgwo700es4gyxig9vrtbo	nameRu	金融学
cmtuqgwob00et4gyxhy3r1af1	nameRu	财政学
cmtuqgwof00eu4gyx14peyeqz	nameRu	国际经济与贸易
cmtuqgwoi00ev4gyxt9t04nhy	nameRu	教育学
cmtuqgwol00ew4gyxmlh4o8xa	nameRu	工商管理
cmtuqgwop00ex4gyxxxesmlcx	nameRu	信息管理与信息系统
cmtuqgwot00ey4gyxw8c0cnl0	nameRu	会计学
cmtuqgwow00ez4gyxcuipof5i	nameRu	农林经济管理
cmtuqgwp000f04gyxjj07yeqi	nameRu	行政管理
cmtuqgwp400f14gyxhw5zo845	nameRu	土地资源管理
cmtuqgwp800f24gyxpwf7zb7b	nameRu	劳动与社会保障
cmtuqgwpb00f34gyxpy1lefvz	nameRu	政治学与行政学
cmtuqgwpf00f44gyxf7n7wtn2	nameRu	社会学
cmtuqgwpj00f54gyxvo5tfm6c	nameRu	法学
cmtuqgwpm00f64gyxuzfnmzon	nameRu	数学与应用数学
cmtuqgwpp00f74gyxnkg1x1cn	nameRu	信息与计算科学
cmtuqgwpt00f84gyxmy954zoo	nameRu	统计学
cmtuqgwpw00f94gyxy3v19t3q	nameRu	物理学
cmtuqgwpz00fa4gyx8rnfpae1	nameRu	化学
cmtuqgwq300fb4gyxuc0ho81i	nameRu	心理学
cmtuqgwq600fc4gyxoy5wa3a8	nameRu	地理信息科学
cmtuqgwq900fd4gyxg84xhlju	nameRu	大气科学
cmtuqgwqc00fe4gyxbw5zm7ge	nameRu	地质学
cmtuqgwqg00ff4gyxip8nf0yq	nameRu	机械工程
cmtuqgwqk00fg4gyxq7o0dpvq	nameRu	能源与环境系统工程
cmtuqgwqp00fh4gyxktwtfhxi	nameRu	车辆工程
cmtuqgwqt00fi4gyxc5c25isj	nameRu	过程装备与控制工程
cmtuqgwqx00fj4gyxbknq1cik	nameRu	化学工程与工艺
cmtuqgwr000fk4gyx6hqz0dmn	nameRu	生物工程
cmtuqgwr400fl4gyx6rt33lb4	nameRu	高分子材料与工程
cmtuqgwr700fm4gyxrq1d3dxj	nameRu	材料科学与工程
cmtuqgwrc00fn4gyxhp5q9ymp	nameRu	建筑学
cmtuqgwri00fo4gyx25nu7p40	nameRu	城乡规划
cmtuqgwrm00fp4gyxrub2mort	nameRu	土木、水利与交通工程
cmtuqgwrq00fq4gyxjnpfatdq	nameRu	电气工程及其自动化
cmtuqgwrt00fr4gyxitkojzbr	nameRu	电子信息工程
cmtuqgwrx00fs4gyxihntf1yz	nameRu	工程力学
cmtuqgws100ft4gyxaj7w32le	nameRu	飞行器设计与工程
cmtuqgws400fu4gyxpdj1b286	nameRu	海洋工程与技术
cmtuqgws800fv4gyxit4w87rw	nameRu	海洋科学
cmtuqgwsd00fw4gyx9hxp4ybj	nameRu	光电信息科学与工程
cmtuqgwsi00fx4gyxv052x68x	nameRu	信息工程
cmtuqgwsm00fy4gyx6ic7ppiz	nameRu	电子科学与技术
cmtuqgwsp00fz4gyxov62gcyj	nameRu	微电子科学与工程
cmtuqgwss00g04gyxcq31zx0c	nameRu	工业设计
cmtuqgwsv00g14gyxrko15iab	nameRu	计算机科学与技术
cmtuqgwsy00g24gyxmg0nvg85	nameRu	软件工程
cmtuqgwt200g34gyx8dx2341e	nameRu	信息安全
cmtuqgwt500g44gyxbu4yvwwf	nameRu	自动化
cmtuqgwt800g54gyxbcnzxlqr	nameRu	生物医学工程
